DateTime,Campaign_name ,Activity ,Source,HCP_ID
06/01/25 5:39:00 AM,,View ,Vendor 1,1038729530
06/01/25 5:40:00 AM,,Click ,Vendor 1,1038729530
15/02/25 9:34:00 AM,,View ,Vendor 1,1080525257
15/02/25 9:35:00 AM,,Click ,Vendor 1,1080525257
17/01/25 7:49:00 PM,,View ,Vendor 1,1122947025
17/01/25 7:50:00 PM,,Click ,Vendor 1,1122947025
13/02/25 2:29:00 PM,,View ,Vendor 1,1132412600
13/02/25 2:31:00 PM,,Click ,Vendor 1,1132412600
25/01/25 1:27:00 PM,,View ,Vendor 1,1161888557
25/01/25 1:27:00 PM,,Click ,Vendor 1,1161888557
26/01/25 7:45:00 PM,,View ,Vendor 1,1266853585
26/01/25 7:47:00 PM,,Click ,Vendor 1,1266853585
03/02/25 7:27:00 AM,,View ,Vendor 1,1288340429
03/02/25 7:28:00 AM,,Click ,Vendor 1,1288340429
03/02/25 7:28:00 AM,,Click ,Vendor 1,1288340429
16/01/25 2:41:00 PM,,View ,Vendor 1,1296585738
16/01/25 2:41:00 PM,,Click ,Vendor 1,1296585738
16/01/25 2:47:00 PM,,Click ,Vendor 1,1296585738
11/01/25 5:03:00 AM,,View ,Vendor 1,1356689139
11/01/25 5:04:00 AM,,Click ,Vendor 1,1356689139
11/02/25 5:04:00 AM,,Click ,Vendor 1,1356689139
09/02/25 8:23:00 AM,,View ,Vendor 1,1366248058
09/02/25 8:24:00 AM,,Click ,Vendor 1,1366248058
09/02/25 8:24:00 AM,,Click ,Vendor 1,1366248058
22/01/25 7:18:00 PM,,View ,Vendor 1,1403238652
22/01/25 7:19:00 PM,,Click ,Vendor 1,1403238652
22/01/25 7:19:00 PM,,Click ,Vendor 1,1403238652
24/01/25 4:16:00 AM,,View ,Vendor 1,1499551991
24/01/25 4:17:00 AM,,Click ,Vendor 1,1499551991
13/01/25 3:38:00 PM,,View ,Vendor 1,1526565306
13/01/25 3:39:00 PM,,Click ,Vendor 1,1526565306
16/01/25 9:08:00 AM,,View ,Vendor 1,1528679151
16/01/25 9:10:00 AM,,Click ,Vendor 1,1528679151
14/02/25 7:38:00 PM,,View ,Vendor 1,1554967019
14/02/25 7:40:00 PM,,Click ,Vendor 1,1554967019
01/02/25 1:53:00 AM,,View ,Vendor 1,1635285190
01/02/25 1:54:00 AM,,Click ,Vendor 1,1635285190
01/02/25 1:54:00 AM,,Click ,Vendor 1,1635285190
06/01/25 10:01:00 PM,,View ,Vendor 1,1713635266
06/01/25 10:03:00 PM,,Click ,Vendor 1,1713635266
10/02/25 2:27:00 AM,,View ,Vendor 1,1729475540
10/02/25 2:28:00 AM,,Click ,Vendor 1,1729475540
04/02/25 11:46:00 PM,,View ,Vendor 1,1774664030
04/02/25 11:48:00 PM,,Click ,Vendor 1,1774664030
02/01/25 2:39:00 AM,,View ,Vendor 1,1854171258
02/01/25 2:40:00 AM,,Click ,Vendor 1,1854171258
01/01/25 8:34:00 PM,,View ,Vendor 1,1865116046
01/01/25 8:35:00 PM,,Click ,Vendor 1,1865116046
03/01/25 5:25:00 AM,,View ,Vendor 1,1868936837
03/01/25 5:25:00 AM,,Click ,Vendor 1,1868936837
12/02/25 10:45:00 PM,,View ,Vendor 1,1869373520
12/02/25 10:46:00 PM,,Click ,Vendor 1,1869373520
04/01/25 11:43:00 AM,,View ,Vendor 1,1869978423
04/01/25 11:44:00 AM,,Click ,Vendor 1,1869978423
27/01/25 9:22:00 PM,,View ,Vendor 1,1885260102
27/01/25 9:24:00 PM,,Click ,Vendor 1,1885260102
04/01/25 6:58:00 PM,,View ,Vendor 1,1927980309
04/01/25 7:00:00 PM,,Click ,Vendor 1,1927980309
09/02/25 3:53:00 AM,,View ,Vendor 1,1931337008
09/02/25 3:55:00 AM,,Click ,Vendor 1,1931337008
03/02/25 5:16:00 PM,,View ,Vendor 1,2146949287
03/02/25 5:16:00 PM,,Click ,Vendor 1,2146949287
01/02/25 9:22:00 AM,,View ,Vendor 1,2181286464
01/02/25 9:23:00 AM,,Click ,Vendor 1,2181286464
16/01/25 10:12:00 AM,,View ,Vendor 1,2203424638
16/01/25 10:13:00 AM,,Click ,Vendor 1,2203424638
07/01/25 4:56:00 PM,,View ,Vendor 1,2246608444
07/01/25 4:58:00 PM,,Click ,Vendor 1,2246608444
20/01/25 1:14:00 PM,,View ,Vendor 1,2315677253
20/01/25 1:15:00 PM,,Click ,Vendor 1,2315677253
12/01/25 10:16:00 AM,,View ,Vendor 1,2354952557
12/01/25 10:16:00 AM,,Click ,Vendor 1,2354952557
08/02/25 7:53:00 PM,,View ,Vendor 1,2484667068
08/02/25 7:53:00 PM,,Click ,Vendor 1,2484667068
21/01/25 7:04:00 PM,,View ,Vendor 1,2492175370
21/01/25 7:05:00 PM,,Click ,Vendor 1,2492175370
13/01/25 11:34:00 AM,,View ,Vendor 1,2508571089
13/01/25 11:35:00 AM,,Click ,Vendor 1,2508571089
14/01/25 11:32:00 PM,,View ,Vendor 1,2521960405
14/01/25 11:33:00 PM,,Click ,Vendor 1,2521960405
12/02/25 10:22:00 PM,,View ,Vendor 1,2575569952
12/02/25 10:24:00 PM,,Click ,Vendor 1,2575569952
19/01/25 11:43:00 AM,,View ,Vendor 1,2673960233
19/01/25 11:43:00 AM,,Click ,Vendor 1,2673960233
13/01/25 3:39:00 PM,,View ,Vendor 1,2677377056
13/01/25 3:41:00 PM,,Click ,Vendor 1,2677377056
22/01/25 10:54:00 AM,,View ,Vendor 1,2743848019
22/01/25 10:56:00 AM,,Click ,Vendor 1,2743848019
02/01/25 4:10:00 AM,,View ,Vendor 1,2830708161
02/01/25 4:11:00 AM,,Click ,Vendor 1,2830708161
21/01/25 12:09:00 AM,,View ,Vendor 1,2831982727
21/01/25 12:10:00 AM,,Click ,Vendor 1,2831982727
21/01/25 11:20:00 PM,,View ,Vendor 1,2860233987
21/01/25 11:21:00 PM,,Click ,Vendor 1,2860233987
08/02/25 12:39:00 AM,,View ,Vendor 1,2868584720
08/02/25 12:40:00 AM,,Click ,Vendor 1,2868584720
20/01/25 2:21:00 AM,,View ,Vendor 1,2940545267
